mod2310,xmax,n_gaps,mean_gap,rho_bar,se_rho_bar
839,1e+09,25487,307.0085,1.051393,0.006208
851,1e+09,25411,311.1023,1.065413,0.006236
857,1e+09,25349,322.8991,1.105813,0.006101
881,1e+09,25343,315.1180,1.079165,0.006120
899,1e+09,25310,322.4529,1.104285,0.006223
941,1e+09,25349,291.6200,0.998693,0.006029
947,1e+09,25496,302.9553,1.037512,0.006093
989,1e+09,25307,279.9613,0.958766,0.006141
1007,1e+09,25406,280.5100,0.960646,0.006097
1019,1e+09,25386,287.0924,0.983188,0.006234
1031,1e+09,25398,292.1120,1.000378,0.006147
1037,1e+09,25542,297.9601,1.020406,0.006108
1049,1e+09,25412,308.0563,1.054981,0.006167
1061,1e+09,25301,313.7345,1.074427,0.006055
1079,1e+09,25474,312.3729,1.069764,0.006085
1091,1e+09,25284,318.2945,1.090044,0.006056
1121,1e+09,25463,309.0435,1.058362,0.006098
1151,1e+09,25306,291.8917,0.999624,0.006032
1157,1e+09,25509,311.4894,1.066739,0.006122
1187,1e+09,25357,292.5303,1.001811,0.006049
1217,1e+09,25284,280.2321,0.959694,0.006024
1229,1e+09,25360,285.9123,0.979146,0.006045
1247,1e+09,25194,288.1138,0.986686,0.006063
1259,1e+09,25146,291.7182,0.999029,0.006053
1271,1e+09,25411,291.7304,0.999071,0.005949
1277,1e+09,25417,306.4606,1.049517,0.006066
1289,1e+09,25250,318.3362,1.090187,0.006185
1301,1e+09,25435,319.6546,1.094701,0.005971
1319,1e+09,25416,320.8954,1.098951,0.005951
1361,1e+09,25224,299.7058,1.026384,0.005910
1367,1e+09,25295,311.0011,1.065067,0.006033
1409,1e+09,25414,275.3335,0.942918,0.005782
1427,1e+09,25543,281.9688,0.965641,0.005909
1451,1e+09,25395,274.8017,0.941096,0.005952
1457,1e+09,25585,287.5502,0.984756,0.005982
1469,1e+09,25327,295.5479,1.012145,0.005951
1481,1e+09,25235,295.2642,1.011173,0.005869
1487,1e+09,25511,308.3714,1.056061,0.005896
1499,1e+09,25398,314.2710,1.076265,0.005866
1511,1e+09,25326,317.7349,1.088127,0.005767
1541,1e+09,25313,300.1922,1.028050,0.005733
1577,1e+09,25422,289.4635,0.991308,0.005765
1607,1e+09,25312,275.8587,0.944716,0.005856
1619,1e+09,25340,274.3115,0.939418,0.005707
1649,1e+09,25280,263.1764,0.901284,0.005817
1667,1e+09,25432,267.3489,0.915574,0.005880
1679,1e+09,25296,268.4080,0.919200,0.005772
1691,1e+09,25385,274.0108,0.938388,0.005887
1697,1e+09,25206,283.5365,0.971010,0.006047
1709,1e+09,25353,290.8747,0.996141,0.005924
1721,1e+09,25381,292.4594,1.001568,0.005818
1739,1e+09,25271,289.0171,0.989779,0.005864
1751,1e+09,25469,291.2960,0.997584,0.005848
1781,1e+09,25459,281.1082,0.962694,0.005837
1787,1e+09,25396,297.7090,1.019546,0.005970
1817,1e+09,25347,278.5894,0.954068,0.005908
1829,1e+09,25187,281.6748,0.964635,0.005859
1847,1e+09,25322,280.2594,0.959787,0.005886
1871,1e+09,25079,270.9632,0.927951,0.005863
1877,1e+09,25280,288.2400,0.987118,0.005911
1889,1e+09,25424,294.6643,1.009119,0.005913
1907,1e+09,25305,287.4170,0.984299,0.005887
1919,1e+09,25235,297.8634,1.020075,0.005890
1931,1e+09,25236,296.7665,1.016318,0.005818
1949,1e+09,25420,298.2496,1.021397,0.005844
1961,1e+09,25419,299.9544,1.027236,0.005798
1997,1e+09,25356,290.9846,0.996517,0.005921
2027,1e+09,25423,270.0035,0.924665,0.005773
2039,1e+09,25538,273.2058,0.935631,0.005762
2069,1e+09,25290,260.3163,0.891489,0.005870
2081,1e+09,25257,264.5088,0.905847,0.005867
2087,1e+09,25340,277.4320,0.950105,0.005958
2111,1e+09,25398,269.1694,0.921808,0.005876
2117,1e+09,25465,277.0179,0.948686,0.005829
2129,1e+09,25444,281.8984,0.965400,0.005901
2141,1e+09,25457,283.4999,0.970885,0.005781
2159,1e+09,25258,285.1240,0.976447,0.005965
2171,1e+09,25420,285.3578,0.977248,0.005915
2201,1e+09,25491,275.7905,0.944483,0.005901
2207,1e+09,25101,288.4135,0.987712,0.005963
2237,1e+09,25290,271.5575,0.929986,0.005986
2249,1e+09,25349,278.3412,0.953218,0.006058
2267,1e+09,25323,271.6467,0.930292,0.005962
2279,1e+09,25437,275.6035,0.943842,0.005901
2291,1e+09,25637,280.9440,0.962132,0.005932
2309,1e+09,25196,281.6404,0.964517,0.006024
